file_name,video_id,publish_date,total_word_count,Lemma_genocide,Lemma_Israel,Lemma_Gaza,Lemma_Hamas,Lemma_War,Lemma_Hostages,Lemma_Iran,Lemma_Palestine,Lemma_Aid,Lemma_Military,Token_Palestinians,Token_Israelis,Lemma_Palestinian,Lemma_Israeli,Lemma_Humanitarian,Lemma_Ceasefire,Lemma_Rafa,Lemma_Netanyahu,Lemma_Hospital,Lemma_Children,Lemma_Minister,Lemma_Attack,Lemma_Killed,Lemma_Hezbollah,Lemma_Civilians,Lemma_Lebanon,Lemma_Terrorist,Lemma_terror,Lemma_Westbank,Lemma_Egypt,Lemma_Support,Lemma_Biden,Lemma_Court,Lemma_Food,Lemma_Water,Lemma_Electricity,Lemma_Health,Lemma_Negotiations,Lemma_Militia,Lemma_Family,Lemma_Hostage,Lemma_Refugee,Lemma_Protest,Lemma_Islamic,Lemma_unra,Lemma_Unrwa,Lemma_Diplomatic,Lemma_Jewish,Lemma_Suffering,Lemma_Casualties,Lemma_Death,Lemma_Militant,Lemma_Soldiers,Lemma_Human,Lemma_Prisoners,Lemma_Escalation,Lemma_Fuel,Lemma_Supplies,Lemma_Civilian,Lemma_idf,Lemma_Displace,Lemma_UN,Lemma_Israeli Government,Lemma_October 7th,Lemma_United states,Lemma_Evacuate corridor,Lemma_Terror attacks,Lemma_Release hostages,Lemma_United Nations,Lemma_Israeli military
biden to netanyahu protect civilians or else_treetagger_output.txt,f7MB9VKx-ds,20240404,1544,0,26,13,6,2,3,1,0,11,0,0,2,0,7,11,0,0,3,0,0,6,1,0,0,12,0,1,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
biden warns that netanyahu needs to change his government_treetagger_output.txt,vLs3miDGwKE,20231212,1346,0,24,7,4,6,0,0,0,0,0,0,0,0,5,3,1,0,10,0,0,4,0,0,0,3,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
blinken describes how the israel-hamas war affects him personally_treetagger_output.txt,JCAza8k6CyI,20231207,553,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blinken gives update on release of 2 american hostages held by hamas_treetagger_output.txt,czQWZAaWlHA,20231020,1732,0,11,4,8,3,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,1,0,0,1,1,0,3,0,2,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
blinken on why international community slow to address sexual violence committed by hamas_treetagger_output.txt,CTg_4VZpNTc,20231210,1731,0,18,3,6,1,0,0,0,1,5,0,2,5,0,6,0,0,0,0,0,0,0,3,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
blogger leaves haunting words in final video from gaza_treetagger_output.txt,5f0Onb1RV34,20231124,1208,0,2,17,2,6,0,0,0,10,0,1,0,0,1,4,0,0,0,0,1,0,0,2,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
bolton says icc actions show it’s not ‘tethered to rule of law itself’_treetagger_output.txt,qTvFuNNVwnA,20240521,1456,2,8,4,17,3,0,0,0,0,2,1,0,2,5,0,0,0,1,1,5,3,0,6,0,1,0,0,0,0,0,0,6,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
breaking down what biden said in israel amid deadly gaza hospital strike_treetagger_output.txt,hg4m7bnDl0s,20231018,1775,0,27,12,5,7,0,1,0,5,0,0,3,2,2,6,0,0,2,2,0,5,2,0,1,1,0,3,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brother of released american hostage speaks out_treetagger_output.txt,6gpi9S7P_c8,20231021,1878,0,5,7,6,0,8,0,1,0,0,0,1,0,4,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,2,3,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
burnett confronts top israeli official about october 7 intelligence failure_treetagger_output.txt,4l556W2LMzE,20231202,709,0,6,2,7,6,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catch up on netanyahu’s speech to congress and analysis_treetagger_output.txt,EuylZvvtTxc,20240725,5515,2,41,27,15,9,18,16,0,8,3,2,4,3,15,2,1,0,18,0,1,25,0,6,2,3,1,0,0,0,0,4,5,1,1,0,0,0,1,0,3,7,0,1,0,0,0,0,6,0,1,5,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0
cheers erupt as red cross convoy passes through rafah crossing_treetagger_output.txt,IX2lBOesLO4,20231124,1475,0,9,6,10,0,17,0,0,0,0,0,0,0,6,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
chilling audio from israeli medic reveals last moments_treetagger_output.txt,R-KUt4Pp_-M,20231019,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chris christie on what he thinks is top priority in israel-hamas war_treetagger_output.txt,8h7Raw-KFZE,20231112,1603,0,10,6,16,3,1,2,0,2,6,1,1,2,8,1,0,0,3,2,0,4,1,5,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0
